country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Argentina,ARG,12/03/2021,44938712.00,2098205,1719543,378662,179131,105801,4.64,3.8,0.84,2341,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Australia,AUS,12/03/2021,25364307.00,135103,135103,,10103,9034,0.53,0.53,,354,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Azerbaijan,AZE,12/03/2021,10023318.00,443888,443888,,7039,11692,4.38,4.38,,1153,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,12/03/2021,1501635.00,522344,312119,210225,1915,3362,30.7,18.34,12.35,1976,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Belize,BLZ,12/03/2021,390353.00,7444,7444,,2511,921,1.87,1.87,,2316,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/Belizehealth/photos/2642843812680684
Bolivia,BOL,12/03/2021,11513100.00,137150,127199,9951,4864,16720,1.17,1.09,0.09,1432,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,12/03/2021,212559417.00,11149530,8360366,2789164,408671,140053,5.25,3.93,1.31,659,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,12/03/2021,6975761.00,336660,279324,57336,12214,7457,4.85,4.02,0.83,1073,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,12/03/2021,16486542.00,147591,147591,,17683,12770,0.88,0.88,,764,Sinopharm/Beijing,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/3842943682411376?__cft__[0]=AZWillbi6SVPNfcAlwgJRee1QCqfXP1Tc3IAdpxntFnRF97brk7r6Y3YIxhuyjFts2svW9WVehnKu5quMWandSzGyHSezQXVyrYl4sg00UV64QzkGg12ag-ZYM5ftYWZWi8RF-H8LkXuDmR3eAjBvseE&__tn__=%2CO%2CP-R
Canada,CAN,12/03/2021,37589262.00,2830164,2239490,590674,110847,82141,7.5,5.93,1.57,2176,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Chile,CHL,12/03/2021,18952038.00,6516249,4774004,1742245,349812,274564,34.09,24.97,9.11,14363,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
Costa Rica,CRI,12/03/2021,5047561.00,241724,187826,53898,,8659,4.75,3.69,1.06,1700,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Czech Republic,CZE,12/03/2021,10669709.00,1049108,752684,296424,40807,33274,9.8,7.03,2.77,3107,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Ecuador,ECU,12/03/2021,17373662.00,106228,100000,6228,10313,5011,0.6,0.57,0.04,284,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
Faroe Islands,FRO,12/03/2021,53358.00,8832,4901,3931,,181,18.07,10.03,8.04,3704,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,12/03/2021,5520314.00,651289,565463,85826,26250,16912,11.75,10.21,1.55,3052,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
Germany,DEU,12/03/2021,83132799.00,8863270,6113484,2749786,256128,229991,10.58,7.3,3.28,2745,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,12/03/2021,34003.00,45488,28971,16517,594,596,135.02,85.99,49.02,17690,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,12/03/2021,10716322.00,1254087,855151,398936,31694,27826,12.03,8.2,3.83,2670,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hong Kong,HKG,12/03/2021,7507400.00,162100,162100,,16300,12829,2.16,2.16,,1711,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.info.gov.hk/gia/general/202103/12/P2021031200872.htm
Hungary,HUN,12/03/2021,9769949.00,1670757,1293414,377343,89236,59483,17.29,13.39,3.91,6157,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,12/03/2021,361313.00,46862,34018,12844,810,1016,13.73,9.97,3.76,2977,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,12/03/2021,1366417754.00,28218457,23075504,5142953,2053537,1245822,2.04,1.67,0.37,903,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,12/03/2021,270203917.00,5108536,3769174,1339362,116862,225769,1.87,1.38,0.49,825,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Isle of Man,IMN,12/03/2021,84584.00,29794,19885,9909,1363,844,35.04,23.39,11.65,9926,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,12/03/2021,9053300.00,9211169,5117096,4094073,32021,85219,106.42,59.12,47.3,9846,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,12/03/2021,60297396.00,6430266,4508194,1922072,190284,174829,10.64,7.46,3.18,2892,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Japan,JPN,12/03/2021,126226568.00,230542,227194,3348,49358,26296,0.18,0.18,0,208,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_sesshujisseki.html
Latvia,LVA,12/03/2021,1912789.00,96017,77904,18113,4637,2061,5.09,4.13,0.96,1093,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,12/03/2021,6855713.00,95888,78177,17711,3921,5050,1.4,1.15,0.26,740,Pfizer/BioNTech,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lithuania,LTU,12/03/2021,2786844.00,349980,252097,97883,16047,7644,12.86,9.26,3.6,2808,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Macau,MAC,12/03/2021,682800.00,26440,26440,,1046,1059,4.07,4.07,,1631,"Pfizer/ BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/368822/
Malaysia,MYS,12/03/2021,31949777.00,275851,275851,,25942,23277,0.85,0.85,,719,Pfizer/BioNTech,Government of Malaysia,https://twitter.com/JKJAVMY/status/1370608736092442625
Maldives,MDV,12/03/2021,530953.00,188436,,,1506,7087,34.86,,,13111,Oxford/AstraZeneca,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1370419731929436162
Mexico,MEX,12/03/2021,126014024.00,4005131,3395671,609460,205131,181890,3.11,2.63,0.47,1411,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Moldova,MDA,12/03/2021,2657637.00,9341,9341,,1225,785,0.23,0.23,,195,Oxford/AstraZeneca,Ministry of Health,https://vaccinare.gov.md/
Montenegro,MNE,12/03/2021,622137.00,3374,3374,,,161,0.54,0.54,,256,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Morocco,MAR,12/03/2021,36910560.00,5394092,4169133,1224959,291407,145209,14.61,11.3,3.32,3934,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
Panama,PAN,12/03/2021,4246439.00,245177,,,11812,11178,5.68,,,2591,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Paraguay,PRY,12/03/2021,7044636.00,7156,7156,,2800,791,0.1,0.1,,111,Sputnik V,Government of Paraguay,https://vacunate.mspbs.gov.py/index-listado-vacunados.php
Portugal,PRT,12/03/2021,10269417.00,1113885,793162,320723,35122,20243,10.92,7.78,3.15,1985,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Russia,RUS,12/03/2021,144373535.00,7448262,5451045,1997217,174329,163773,5.1,3.74,1.37,1122,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saudi Arabia,SAU,12/03/2021,34268528.00,1992169,,,168350,103899,5.72,,,2984,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
Serbia,SRB,12/03/2021,6944975.00,1897335,1196235,701100,69995,39797,27.88,17.58,10.3,5849,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Slovakia,SVK,12/03/2021,5454073.00,597182,388842,208340,258,11162,10.94,7.12,3.82,2044,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
South Africa,ZAF,12/03/2021,58558270.00,145215,145215,145215,7201,6434,0.24,0.24,0.24,108,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,12/03/2021,51709098.00,583658,583658,,37381,41040,1.14,1.14,,800,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
Sri Lanka,LKA,12/03/2021,21803000.00,760765,,,1217,8749,3.55,,,409,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1370583763676131331
Sweden,SWE,12/03/2021,10285453.00,1093915,758884,335031,43929,29089,10.83,7.51,3.32,2880,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Turkey,TUR,12/03/2021,83429615.00,10742277,7858565,2883712,239783,140855,12.74,9.32,3.42,1670,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,12/03/2021,44385155.00,47541,47541,,9304,4540,0.11,0.11,,104,Oxford/AstraZeneca,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,12/03/2021,9770529.00,6462887,,,55537,32510,65.35,,,3287,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United States,USA,12/03/2021,328239523.00,101128005,65965305,35000159,2924112,2302844,30.24,19.72,10.47,6886,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,12/03/2021,3461734.00,193427,193427,,23122,17254,5.57,5.57,,4967,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
Zimbabwe,ZWE,12/03/2021,14645468.00,36283,36283,,264,708,0.24,0.24,,48,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1370448161106448389
Argentina,ARG,11/03/2021,44938712.00,1919074,1564555,354519,144636,95230,4.25,3.46,0.78,2107,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Australia,AUS,11/03/2021,25364307.00,125000,125000,,18800,9142,0.49,0.49,,359,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,11/03/2021,8877067.00,929497,667570,261927,38435,24951,10.32,7.41,2.91,2770,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,11/03/2021,10023318.00,436849,436849,,8214,12453,4.31,4.31,,1228,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,11/03/2021,1501635.00,520429,312104,208325,2528,4191,30.58,18.34,12.24,2463,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,11/03/2021,167310838.00,4218127,4218127,,,90994,2.56,2.56,,553,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf
Barbados,BRB,11/03/2021,287025.00,50703,50703,,440,609,17.64,17.64,,2119,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4014237895274917/5
Belgium,BEL,11/03/2021,11484055.00,1087634,721826,365808,22594,19870,9.38,6.23,3.16,1714,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,11/03/2021,390353.00,4933,4933,,2444,588,1.24,1.24,,1479,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/Belizehealth/photos/2642843812680684
Bolivia,BOL,11/03/2021,11513100.00,132286,122348,9938,5397,16037,1.13,1.05,0.09,1374,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,11/03/2021,212559417.00,10740859,8092244,2648615,378372,143026,5.05,3.81,1.25,673,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,11/03/2021,6975761.00,324446,270587,53859,15301,7986,4.67,3.89,0.78,1149,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,11/03/2021,16486542.00,129908,129908,,20054,11479,0.78,0.78,,687,Sinopharm/Beijing,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/3842943682411376?__cft__[0]=AZWillbi6SVPNfcAlwgJRee1QCqfXP1Tc3IAdpxntFnRF97brk7r6Y3YIxhuyjFts2svW9WVehnKu5quMWandSzGyHSezQXVyrYl4sg00UV64QzkGg12ag-ZYM5ftYWZWi8RF-H8LkXuDmR3eAjBvseE&__tn__=%2CO%2CP-R
Canada,CAN,11/03/2021,37589262.00,2719317,2131666,587651,98028,78557,7.2,5.65,1.56,2081,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Chile,CHL,11/03/2021,18952038.00,6166437,4633747,1532690,410361,266943,32.26,24.24,8.02,13964,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
Colombia,COL,11/03/2021,50339443.00,589208,580060,9148,108958,54676,1.16,1.14,0.02,1075,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx
Costa Rica,CRI,11/03/2021,5047561.00,,,,,8450,,,,1659,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Czech Republic,CZE,11/03/2021,10669709.00,1008301,718845,289456,49581,32122,9.42,6.71,2.7,3000,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,11/03/2021,5818553.00,809463,576897,232566,12104,17529,13.98,9.96,4.02,3026,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Dominican Republic,DOM,11/03/2021,10738958.00,606006,606006,,58915,54041,5.59,5.59,,4982,Oxford/AstraZeneca,Ministry of Public Health,https://twitter.com/SaludPublicaRD/status/1370015677608828930
Ecuador,ECU,11/03/2021,17373662.00,95915,89687,6228,,5228,0.54,0.51,0.04,296,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
United Kingdom,,11/03/2021,66834405.00,20807385,19798473,1008912,281073,281719,36.97,35.17,1.79,5005,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,11/03/2021,1326590.00,161693,113898,47795,6518,4978,12.19,8.59,3.6,3753,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Faroe Islands,FRO,11/03/2021,53358.00,,,,,178,,,,3643,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,11/03/2021,5520314.00,625039,539618,85421,24563,16550,11.28,9.74,1.54,2987,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,11/03/2021,67059887.00,6722229,4569849,2152380,295192,212876,9.91,6.74,3.17,3138,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,11/03/2021,83132799.00,8607142,5923097,2684045,269732,229554,10.27,7.07,3.2,2740,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,11/03/2021,34003.00,44894,28932,15962,0,606,133.25,85.87,47.38,17987,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,11/03/2021,10716322.00,1222393,831761,390632,31670,28240,11.73,7.98,3.75,2709,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Guatemala,GTM,11/03/2021,16604026.00,19947,19947,,,1752,0.11,0.11,,98,Moderna,Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Hong Kong,HKG,11/03/2021,7507400.00,145800,145800,,15300,11971,1.94,1.94,,1597,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.info.gov.hk/gia/general/202103/12/P2021031200872.htm
Hungary,HUN,11/03/2021,9769949.00,1581521,1229827,351694,104536,62692,16.37,12.73,3.64,6490,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,11/03/2021,361313.00,46052,33289,12763,,979,13.5,9.76,3.74,2869,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,11/03/2021,1366417754.00,26164920,21435841,4729079,479909,1165631,1.9,1.55,0.34,845,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,11/03/2021,270203917.00,4991674,3696059,1295615,154098,219203,1.82,1.35,0.47,801,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Isle of Man,IMN,11/03/2021,84584.00,28431,19138,9293,1105,713,33.44,22.51,10.93,8385,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,11/03/2021,9053300.00,9179148,5110742,4068406,106237,88303,106.05,59.05,47,10202,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,11/03/2021,60297396.00,6239982,4375136,1864846,206682,175967,10.32,7.24,3.08,2910,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Japan,JPN,11/03/2021,126226568.00,181184,180741,443,32234,20287,0.14,0.14,0,160,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_sesshujisseki.html
Latvia,LVA,11/03/2021,1912789.00,91380,73274,18106,2548,2082,4.84,3.88,0.96,1104,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,11/03/2021,6855713.00,91967,76883,15084,4751,4928,1.35,1.13,0.22,722,Pfizer/BioNTech,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lithuania,LTU,11/03/2021,2786844.00,333933,242374,91559,1134,7323,12.27,8.9,3.36,2690,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,11/03/2021,619896.00,54865,39558,15307,3408,1528,8.76,6.32,2.45,2441,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/f56105f1-0330-416c-b16f-101b9ada3ba0
Macau,MAC,11/03/2021,682800.00,25394,25394,,1354,1042,3.91,3.91,,1605,"Pfizer/ BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/368822/
Malaysia,MYS,11/03/2021,31949777.00,249909,249909,,25986,21470,0.77,0.77,,663,Pfizer/BioNTech,Government of Malaysia,https://twitter.com/JKJAVMY/status/1370608736092442625
Maldives,MDV,11/03/2021,530953.00,186930,,,11474,7115,34.58,,,13163,Oxford/AstraZeneca,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1370419731929436162
Malta,MLT,11/03/2021,502653.00,113258,76076,37182,4287,3330,25.65,17.23,8.42,7542,Pfizer/BioNTech,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,11/03/2021,126014024.00,3800000,,,312000,160566,2.95,,,1245,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Moldova,MDA,11/03/2021,2657637.00,8116,8116,,1669,711,0.2,0.2,,176,Oxford/AstraZeneca,Ministry of Health,https://vaccinare.gov.md/
Montenegro,MNE,11/03/2021,622137.00,,,,,172,,,,274,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Morocco,MAR,11/03/2021,36910560.00,5102685,4130606,972079,168402,124222,13.82,11.19,2.63,3365,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
United Kingdom,,11/03/2021,66834405.00,664029,614629,49400,8386,7747,35.07,32.46,2.61,4091,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,11/03/2021,5347896.00,690657,443696,246961,26249,14740,12.74,8.18,4.56,2719,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Panama,PAN,11/03/2021,4246439.00,233365,,,8600,11851,5.41,,,2747,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Paraguay,PRY,11/03/2021,7044636.00,4356,4356,,1495,402,0.06,0.06,,56,Sputnik V,Government of Paraguay,https://vacunate.mspbs.gov.py/index-listado-vacunados.php
Peru,PER,11/03/2021,32510453.00,449634,359152,90482,4225,12397,1.36,1.09,0.27,376,Sinopharm/Beijing,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
Poland,POL,11/03/2021,37970874.00,4391256,2835856,1555400,,85668,11.6,7.49,4.11,2264,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,11/03/2021,10269417.00,1078763,772343,306420,23678,21376,10.58,7.57,3.01,2096,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Romania,ROU,11/03/2021,19356544.00,2019757,1335828,683929,49911,47735,10.5,6.94,3.56,2481,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,11/03/2021,144373535.00,7273933,5366009,1907924,225804,180456,4.98,3.68,1.31,1237,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,11/03/2021,12626950.00,240000,240000,,10000,24159,1.85,1.85,,1865,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/RwandaHealth/status/1370347319275708419
San Marino,SMR,11/03/2021,33860.00,4284,4284,,616,414,12.62,12.62,,12199,Sputnik V,Social Security Institute,https://vaccinocovid.iss.sm/
Saudi Arabia,SAU,11/03/2021,34268528.00,1823819,,,137938,89971,5.24,,,2584,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
